,Energy consumption,Energy consumption,Energy consumption,Energy consumption,Energy consumption,GHG emissions,GHG emissions,GHG emissions,GHG emissions,GHG emissions,Air pollution,Air pollution,Air pollution,Air pollution,Air pollution,Hazardous chemical use,Hazardous chemical use,Hazardous chemical use,Hazardous chemical use,Hazardous chemical use,Resource consumption,Resource consumption,Resource consumption,Resource consumption,Resource consumption,Waste management,Waste management,Waste management,Waste management,Waste management,Diversity & inclusion,Diversity & inclusion,Diversity & inclusion,Diversity & inclusion,Diversity & inclusion,Training & skills,Training & skills,Training & skills,Training & skills,Training & skills,Health & safety,Health & safety,Health & safety,Health & safety,Health & safety,Work-life balance,Work-life balance,Work-life balance,Work-life balance,Work-life balance,Ethical culture & behavior,Ethical culture & behavior,Ethical culture & behavior,Ethical culture & behavior,Ethical culture & behavior
,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
ERP (enterprise resource planning),Low,Medium,High,High,High,Low,Medium,High,High,High,,,,,,Low,Medium,High,High,High,,,,,,Low,Medium,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,
APS (advanced planning and scheduling),Low,Medium,High,High,High,Low,Medium,High,High,High,,,,,,Low,Medium,Medium,High,High,,,,,,Low,Medium,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,
MES (manufacturing execution system),Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,,,,,,Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,,,,,,,,,,,Low,Low,Medium,Medium,High,Low,Low,Medium,Medium,High
SCADA (supervisory control and data acquisition),Low,Medium,Medium,Medium,High,Low,Medium,Medium,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLC (programmable logic controller),Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,,,,,,,,,,,Low,Medium,Medium,High,High,,,,,,,,,,,,,,,,,,,,,,,,,
HMI (human-machine interface),Low,Medium,Medium,Medium,N/A,Low,Medium,Medium,Medium,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,Low,Medium,High,High,N/A,,,,,N/A,Medium,Medium,High,Medium,N/A,Low,Low,Medium,Medium,N/A
DCS (distributed control system),Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud-based storage,Low,Low,Medium,High,High,Low,Low,Medium,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,High,Medium,High,,,,,,,,,,,,,,,
IIoT (industrial internet of things),Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,Low,Medium,Medium,High,High,,,,,,Low,Medium,Medium,High,High,,,,,,,,,,,,,,,,,,,,,,,,,
Edge device,Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,Low,Medium,Medium,High,High,,,,,,Low,Medium,Medium,High,High,,,,,,,,,,,,,,,,,,,,,,,,,
Data lake/store/base,Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data historian,Low,Low,Medium,Medium,High,Low,Low,Medium,Medium,High,,,,,,Low,Medium,Medium,High,High,,,,,,Low,Low,Medium,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial connectivity (on prem),Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital twin,Medium,Medium,High,High,High,Medium,Medium,High,High,High,,,,,,,,,,,,,,,,Medium,Medium,High,High,High,,,,,,,,,,,,,,,,Low,Low,Low,Low,High,,,,,
Advanced process control,N/A,N/A,N/A,High,High,N/A,N/A,N/A,High,High,N/A,N/A,N/A,High,High,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,High,High,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,
Manufacturing control tower,Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,,,,,,Low,Medium,Medium,High,High,,,,,,,,,,,,,,,,Low,Medium,Medium,Medium,High,,,,,,Low,Low,Medium,Medium,High
Statistical process control,Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,Low,Medium,Medium,High,High,,,,,,,,,,,Low,Low,Medium,Medium,High,,,,,,,,,,
Augmented reality,Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,,,,,,,,,,,Low,Medium,Medium,High,High,Low,Medium,Medium,High,High,Medium,High,High,High,High,Low,Medium,High,Medium,High,Low,Medium,High,Medium,High,Low,Low,Medium,Low,High,,,,,
