ESRS number,,Digital maturity level,,,,
,,1,2,3,4,5
Energy consumption,ERP (enterprise resource planning),"ERP requires continuous server uptime for basic operational visibility, increasing baseline electricity demand.","Comparing planned vs. actual system performance requires additional data logging and storage, straining infrastructure and raising energy use.","Running simulations and forecasting increases computational load, significantly boosting power demand.","Auto-generating optimized plans requires persistent, complex processing, further increasing IT energy consumption.","Real-time self-adjustments and integrations with shop floor data demand uninterrupted computing and cloud sync, peaking energy usage."
Energy consumption,APS (advanced planning and scheduling),"Basic APS provides visibility of production schedules, requiring standard IT infrastructure with moderate energy use.","Diagnostic modules analyze delays and constraints, demanding more computing power and system uptime, increasing energy draw.","Predictive modeling adds complexity (e.g., Monte Carlo simulations, scenario forecasting), increasing server load and electricity usage.","Prescriptive tools rely on intensive optimization algorithms (e.g., linear programming), which significantly raise computing and energy demands.","Adaptive APS operates continuously, dynamically adjusting plans in real time, requiring maximum system uptime, data streaming, and processing power, greatly increasing energy consumption."
Energy consumption,MES (manufacturing execution system),"MES terminals, sensors, and servers operate continuously, increasing baseline electricity use.","Diagnosing defects and aggregating machine-level data requires constant device communication and storage, further raising energy load.","Predictive MES runs simulations on machine behavior and throughput, demanding more processing power and energy.","Prescriptive MES applies complex rule sets and generates optimal schedules, increasing the system's computational burden.","Adaptive MES integrates real-time sensor input and continuously reschedules production, demanding persistent high energy use from servers, edge devices, and cloud services."
Energy consumption,SCADA (supervisory control and data acquisition),"SCADA requires continuous power to run dashboards, HMIs, and basic controls, increasing base electricity demand.","Diagnosing trends and root causes requires higher data granularity and frequency, increasing load on servers, storage, and network infrastructure.","Predictive SCADA runs trend-based forecasting using historical data, requiring higher compute capacity and constant sensor polling, increasing power draw.","Prescriptive SCADA introduces intensive data analysis and control logic execution, raising energy needs in both servers and control interfaces.","Adaptive SCADA systems function autonomously, maintaining always-on oversight and decision loops via AI integration—this results in peak energy usage from persistent computation and sensor activity."
Energy consumption,PLC (programmable logic controller),"Basic PLCs control equipment and log sensor data continuously, drawing steady power 24/7.","Diagnosing control loop inefficiencies increases processing frequency and sensor polling, raising cumulative energy consumption.","Predictive control scenarios run more calculations per second (e.g. trend forecasting), increasing compute cycles and power use.","Prescriptive PLCs deploy advanced models (e.g. model predictive control), requiring more memory, CPU cycles, and continuous system load.","Adaptive PLCs rely on AI-based models updating in real time, which significantly raises data throughput and energy draw across all connected devices."
Energy consumption,HMI (human-machine interface),"HMIs run 24/7 to display KPIs and process status, contributing to constant power demand.","Trend logging and real-time analysis require larger screens and longer display time, increasing power draw and cooling needs in control rooms.","Predictive interfaces display alerts and simulations, using more advanced graphics and screen time, adding to energy load.","Prescriptive HMIs serve as control hubs, integrating with multiple systems, increasing data processing, brightness, and interface activity—raising total energy use.",N/A
Energy consumption,DCS (distributed control system),"DCS components (controllers, terminals, network hardware) run 24/7, contributing significantly to base power load.","Diagnostic analytics increase sensor use and historian activity, expanding computational and server demands.","Predictive algorithms require more frequent data capture and modeling, leading to sustained high power use.","Prescriptive control strategies rely on advanced processing and real-time computation, raising power draw further.","Adaptive DCS operates autonomously across all loops, requiring continuous server and sensor activity, maximizing energy use and reducing efficiency without strict optimization policies."
Energy consumption,Cloud-based storage,"Basic cloud storage enables dashboards and mobile access by storing machine and sensor data, creating baseline demand for energy-intensive remote data centers.","Cross-system analytics and diagnostics increase data redundancy and transfer frequency between cloud servers, raising power usage and cooling needs.","Predictive models require massive, high-resolution datasets stored long-term, significantly increasing cloud storage volume, replication, and power use.","Prescriptive optimization at multiple sites increases real-time data exchange and computational load across distributed cloud systems, spiking energy demand.","Adaptive systems use continuous synchronization and coordination between edge and cloud layers, requiring constant data flow and maximized storage uptime, driving peak energy intensity in cloud infrastructure."
Energy consumption,IIoT (industrial internet of things),"Basic IIoT deployments involve dozens to hundreds of low-power devices (e.g. sensors, transmitters) that continuously collect and send data, increasing facility-wide power consumption.","Diagnostic-level IIoT adds local edge processors and analytics modules, increasing processing and communication loads and raising total energy use.","Predictive models require high-frequency sensing and computation at the edge, significantly elevating power draw across the network.","Prescriptive IIoT pushes constant updates and control instructions to machines, increasing communication intensity and energy needs for synchronization.","Adaptive IIoT creates continuous machine-to-machine coordination, requiring constant two-way data transmission and local AI execution, maximizing site-level power demand from distributed devices."
