ESG,ESRS impact,Maturity level,People current,People future,Process current,Process future,Policy current,Policy future
Environmental,Energy consumption,,"Within the people dimension (skills, knowledge), what is your digital energy competency? Please click on the description that best fits your company's current situation. ","Within the people dimension (skills, knowledge), what is your goal for your digital energy competency? Please click on the description that best fits your company's future desired situation. ","Within the process dimension (equipment, production), what is your digital energy intelligence? Please click on the description that best fits your company's current situation. ","Within the process dimension (equipment, production), what is your goal for your digital energy intelligence? Please click on the description that best fits your company's future desired situation. ","Within the policy dimension (strategy, formalization), what is your digital energy integration? Please click on the description that best fits your company's current situation. ","Within the policy dimension (strategy, formalization), what is your goal for your digital energy integration? Please click on the description that best fits your company's future desired situation. "
Environmental,Energy consumption,1,"Most employees have limited access to basic, historical energy consumption reports. Data is siloed and not actionable in real time.","Most employees have limited access to basic, historical energy consumption reports. Data is siloed and not actionable in real time.",Energy data is automatically collected at regular intervals from key systems and consolidated into dashboards or reports. The focus is on summarizing what happened in terms of total plant energy usage. ,Energy data is automatically collected at regular intervals from key systems and consolidated into dashboards or reports. The focus is on summarizing what happened in terms of total plant energy usage. ,Basic energy policies are in place but rely on manual processes with no digital tools for tracking or enforcement.,Basic energy policies are in place but rely on manual processes with no digital tools for tracking or enforcement.
Environmental,Energy consumption,2,"Most staff regularly review energy usage dashboards, identify simple anomalies (e.g., unexpected spikes), and report them for further analysis.","Most staff regularly review energy usage dashboards, identify simple anomalies (e.g., unexpected spikes), and report them for further analysis.","Operators and engineers use real-time and historical data to analyze why energy consumption deviated from expected patterns. Tools support the identification of inefficiencies, equipment issues, or production anomalies that drive higher usage.","Operators and engineers use real-time and historical data to analyze why energy consumption deviated from expected patterns. Tools support the identification of inefficiencies, equipment issues, or production anomalies that drive higher usage.",Policies require digital systems to monitor energy usage and provide diagnostic insights for identifying inefficiencies.,Policies require digital systems to monitor energy usage and provide diagnostic insights for identifying inefficiencies.
Environmental,Energy consumption,3,Most employees receive system-generated alerts forecasting potential energy overuse. These are integrated into shift planning and equipment scheduling.,Most employees receive system-generated alerts forecasting potential energy overuse. These are integrated into shift planning and equipment scheduling.,"Predictive models estimate total energy usage based on upcoming production schedules, environmental factors, and historical data, allowing proactive planning for peak demand periods or energy-saving opportunities.","Predictive models estimate total energy usage based on upcoming production schedules, environmental factors, and historical data, allowing proactive planning for peak demand periods or energy-saving opportunities.",Policies integrate predictive tools that forecast energy demand and support proactive planning based on data trends.,Policies integrate predictive tools that forecast energy demand and support proactive planning based on data trends.
Environmental,Energy consumption,4,"Advanced analytics systems recommend specific energy-saving actions (e.g., machine sequencing, temperature control adjustments), which are incorporated into daily routines.","Advanced analytics systems recommend specific energy-saving actions (e.g., machine sequencing, temperature control adjustments), which are incorporated into daily routines.","Systems recommend or automatically implement adjustments, such as rescheduling energy-intensive tasks or optimizing machine settings, to reduce total energy usage while meeting production targets.","Systems recommend or automatically implement adjustments, such as rescheduling energy-intensive tasks or optimizing machine settings, to reduce total energy usage while meeting production targets.","Policies mandate systems that automate energy-saving actions in real time, based on defined rules and operational data.","Policies mandate systems that automate energy-saving actions in real time, based on defined rules and operational data."
Environmental,Energy consumption,5,"Self-learning systems automatically optimize total energy consumption across processes. Employees intervene only for rare, complex exceptions or overrides.","Self-learning systems automatically optimize total energy consumption across processes. Employees intervene only for rare, complex exceptions or overrides.",The plant operates with fully autonomous energy optimization. AI systems continuously ingest live data and adjust production processes in real time to minimize energy consumption without human input.,The plant operates with fully autonomous energy optimization. AI systems continuously ingest live data and adjust production processes in real time to minimize energy consumption without human input.,Policies embed AI-driven systems that learn from operations and autonomously optimize energy use across the plant.,Policies embed AI-driven systems that learn from operations and autonomously optimize energy use across the plant.
Environmental,GHG emissions,,"Within the people dimension (skills, knowledge), what is your digital Scope 1 competency? Please click on the description that best fits your company's current situation. ","Within the people dimension (skills, knowledge), what is your goal for your digital Scope 1 competency? Please click on the description that best fits your company's future desired situation. ","Within the process dimension (equipment, production), what is your digital Scope 1 intelligence? Please click on the description that best fits your company's current situation. ","Within the process dimension (equipment, production), what is your goal for your digital Scope 1 intelligence? Please click on the description that best fits your company's future desired situation. ","Within the policy dimension (strategy, formalization), what is your digital Scope 1 integration? Please click on the description that best fits your company's current situation. ","Within the policy dimension (strategy, formalization), what is your goal for your digital Scope 1 integration? Please click on the description that best fits your company's future desired situation. "
Environmental,GHG emissions,1,"Few employees are trained or actively using digital tools to track Scope 1 emissions. Data, if available, is siloed and retrospective, with minimal operational impact.","Few employees are trained or actively using digital tools to track Scope 1 emissions. Data, if available, is siloed and retrospective, with minimal operational impact.","Scope 1 emissions data (e.g., fuel use, refrigerant leaks, process gas losses) is manually collected and reported post-process. Insights are typically delayed and reactive.","Scope 1 emissions data (e.g., fuel use, refrigerant leaks, process gas losses) is manually collected and reported post-process. Insights are typically delayed and reactive.","General Scope 1 emissions targets exist, but they are not connected to digital systems. Monitoring and reduction efforts are manual and reactive.","General Scope 1 emissions targets exist, but they are not connected to digital systems. Monitoring and reduction efforts are manual and reactive."
Environmental,GHG emissions,2,"Targeted employees are trained to use dashboards and diagnostic tools (e.g., SCADA, MES) to identify sources of Scope 1 emissions. Monitoring is routine but mostly reactive.","Targeted employees are trained to use dashboards and diagnostic tools (e.g., SCADA, MES) to identify sources of Scope 1 emissions. Monitoring is routine but mostly reactive.","Operators use diagnostic tools (e.g., SCADA alarms, sensor alerts) to detect abnormal usage of high-emission inputs and manually intervene to address issues such as excessive fuel burn or refrigerant use.","Operators use diagnostic tools (e.g., SCADA alarms, sensor alerts) to detect abnormal usage of high-emission inputs and manually intervene to address issues such as excessive fuel burn or refrigerant use.","Digital audits are required to monitor Scope 1 emissions drivers, such as fuel use, refrigerants, and process gases, enabling diagnostics and performance reviews.","Digital audits are required to monitor Scope 1 emissions drivers, such as fuel use, refrigerants, and process gases, enabling diagnostics and performance reviews."
Environmental,GHG emissions,3,Staff respond to system-generated alerts and forecasts predicting potential Scope 1 emissions events. Preventive actions are taken during planning and operations.,Staff respond to system-generated alerts and forecasts predicting potential Scope 1 emissions events. Preventive actions are taken during planning and operations.,"Predictive analytics model expected Scope 1 emissions based on production plans, weather, and equipment condition. The system alerts teams to potential emissions peaks, enabling early planning and mitigation.","Predictive analytics model expected Scope 1 emissions based on production plans, weather, and equipment condition. The system alerts teams to potential emissions peaks, enabling early planning and mitigation.",Policies require predictive models that forecast Scope 1 emissions based on operational plans and identify high-emission scenarios in advance.,Policies require predictive models that forecast Scope 1 emissions based on operational plans and identify high-emission scenarios in advance.
