ESRS number,,Digital maturity level,,,,
,,1,2,3,4,5
Energy consumption,ERP (enterprise resource planning),"ERP provides real-time monitoring of production processes, helping identify inefficiencies in energy use and equipment performance.","ERP pinpoints areas for improvement, such as idle time or inefficient scheduling, to reduce excess energy consumption.","ERP forecasts future energy consumption and demand, enabling better planning and reducing energy waste by aligning production schedules with energy availability.","ERP generates optimized production schedules to minimize energy costs by using resources during off-peak energy periods, reducing overall consumption and carbon footprint.","ERP dynamically adjusts production processes and schedules based on real-time data to prevent unnecessary energy consumption, improving overall operational efficiency and sustainability."
Energy consumption,APS (advanced planning and scheduling),"APS offers a clear view of production plans and resource usage, helping identify where high-energy tasks are scheduled and allowing for initial insights into potential energy inefficiencies.","APS identifies production inefficiencies, including excessive energy consumption due to poor scheduling or resource allocation, and highlights opportunities for better alignment of tasks with energy use patterns.","APS predicts energy demand based on historical and real-time data, allowing for the alignment of high-energy tasks with off-peak hours or renewable energy availability, thus minimizing overall energy consumption.","APS generates optimized production schedules that reduce energy consumption by shifting high-energy tasks to off-peak hours or bundling tasks to reduce machine start-up cycles, significantly lowering energy use.","APS autonomously adjusts production schedules in real time to minimize energy usage, ensuring that energy-intensive tasks are always aligned with off-peak or renewable energy periods, even in dynamic production environments."
Energy consumption,MES (manufacturing execution system),"MES provides basic real-time monitoring of energy consumption, helping operators identify energy spikes and inefficiencies in energy-intensive operations, offering insight into potential improvements in energy usage.","MES helps identify inefficiencies or energy spikes by tracing energy usage back to specific machines or processes, allowing operators to pinpoint areas where corrective actions can be taken to reduce energy consumption.","MES uses predictive analytics to forecast energy consumption based on historical production data, helping operators anticipate energy-intensive operations and adjust processes to minimize unnecessary energy usage.","MES suggests production schedule adjustments or maintenance actions to reduce energy usage, for example, by aligning energy-intensive tasks with off-peak hours or suggesting machine maintenance to prevent energy spikes.","MES dynamically adjusts production schedules in real time to optimize energy usage, automatically shifting tasks to machines or times when energy consumption is lower, helping reduce overall energy use and improve efficiency."
Energy consumption,SCADA (supervisory control and data acquisition),"SCADA provides basic visibility into energy consumption at the machine or process level, allowing operators to detect energy inefficiencies and identify energy-intensive areas, setting the stage for energy reduction actions.","SCADA aggregates sensor data and visualizes trends, helping operators identify the root causes of energy inefficiencies, such as machines running at high speeds or idle times, which can then be addressed to reduce electricity consumption.","SCADA generates alerts when energy usage or process parameters (like temperature) exceed predefined thresholds, allowing operators to address potential inefficiencies or breakdowns before they lead to excessive energy consumption or waste.","SCADA generates recommendations for energy optimization, such as reducing the speed of energy-intensive machines or shutting off unused lines, helping operators fine-tune settings to minimize electricity consumption and improve overall energy efficiency.","SCADA autonomously adjusts process parameters in real-time based on AI analysis, optimizing energy usage without operator intervention, such as dynamically managing energy loads and preventing waste by shutting off unused lines or adjusting settings based on real-time data."
Energy consumption,PLC (programmable logic controller),"PLCs provide real-time data on machine performance, enabling operators to monitor energy consumption and detect inefficiencies in equipment such as motors and heaters, providing a foundation for energy-saving actions.","PLCs analyze data from control loops to diagnose issues such as instability in machine operation, which may cause inefficient energy consumption, helping operators address problems that contribute to higher energy use.","PLCs use predictive capabilities to identify drift or anomalies in machine control loops, triggering alerts for preventive maintenance to avoid energy waste due to malfunctioning equipment or suboptimal settings.","PLCs implement optimized control strategies (e.g., model predictive control) to automatically adjust machine cycles, reducing unnecessary energy consumption by ensuring machines operate at optimal efficiency.","PLCs autonomously optimize machine operations by using AI models to adjust parameters, ensuring energy-efficient performance over time, such as reducing unnecessary energy draw by optimizing ramp-ups and shutdowns."
Energy consumption,HMI (human-machine interface),"HMI systems provide operators with real-time visibility into machine status and energy consumption, enabling them to identify potential inefficiencies, such as idle machines, that lead to wasted energy and increased emissions.","HMI systems allow operators to analyze trends and root causes of inefficiencies, such as energy waste from excessive machine idling or prolonged cycles, enabling corrective actions that reduce energy consumption.","HMI systems use predictive capabilities to generate alerts when trends indicate potential inefficiencies, such as rising temperatures or abnormal energy usage, allowing operators to take action before energy waste occurs.","HMI systems provide actionable recommendations to operators, such as adjusting cycle times or stopping idle machines, to optimize energy use and prevent unnecessary consumption, directly contributing to energy savings.",N/A
Energy consumption,DCS (distributed control system),"DCS systems provide real-time monitoring and control of energy-intensive processes, offering visibility into energy usage and identifying potential inefficiencies such as over-processing or excessive heating/cooling, laying the foundation for energy reductions.","DCS systems help analyze data from control loops, diagnosing issues like energy overuse caused by unstable or inefficient process control, allowing operators to pinpoint inefficiencies and reduce energy consumption.","DCS systems use predictive capabilities to detect early signs of inefficiencies or drift in control loops, forecasting potential energy waste before it occurs, allowing operators to take corrective action and reduce unnecessary energy consumption.","DCS systems implement model predictive control (MPC) to automatically adjust process parameters, optimizing furnace cycles or plasma processes in real-time, significantly reducing energy consumption by minimizing over-processing and unnecessary heating or cooling.","DCS systems autonomously adjust process parameters in real-time using AI models, optimizing energy usage by continuously adapting to changing conditions and preventing energy waste, further driving down electricity consumption."
Energy consumption,Cloud-based storage,"By centralizing data storage, cloud-based systems reduce the need for energy-intensive local servers, leading to a reduction in on-site energy consumption and a more efficient energy profile for manufacturing. Data management is moved to optimized, often renewable-powered data centers, improving sustainability.","Cloud storage enables easier diagnostics across multiple systems and production lines, allowing manufacturers to identify inefficiencies. By pinpointing energy-intensive operations, cloud-based systems help reduce energy consumption and minimize waste, directly contributing to lower emissions.","Scalable cloud storage allows the aggregation of data from multiple sites, enabling predictive modeling that identifies future energy inefficiencies. This supports energy optimization strategies by forecasting potential inefficiencies, helping companies take proactive measures to reduce energy use and emissions.","By integrating cloud storage with optimization engines, it allows for real-time energy load balancing across multiple sites, ensuring energy is used more efficiently. This reduces overuse and waste, lowering Scope 2 emissions through better energy distribution across sites.","Cloud-edge systems enable real-time coordination across distributed sites, using adaptive algorithms to optimize operations and energy use. This continuous adjustment helps to dynamically reduce energy consumption, avoid waste, and improve energy efficiency factory-wide, driving significant reductions in Scope 2 emissions."
Energy consumption,IIoT (industrial internet of things),"IIoT systems provide real-time data on machine performance, allowing operators to detect inefficiencies, such as machines running at non-optimal conditions. This visibility helps identify energy waste and provides the basis for corrective actions that reduce unnecessary energy consumption.","IIoT systems analyze real-time sensor data locally to detect operational anomalies or inefficiencies. By identifying equipment running at non-optimal conditions (e.g., idle time or overworking), they enable timely corrective actions to reduce energy waste and improve overall energy efficiency.","IIoT systems run predictive models on sensor data to forecast potential inefficiencies, such as machinery requiring maintenance or running at suboptimal efficiency. This proactive approach allows adjustments before inefficiencies impact energy consumption, preventing waste and contributing to energy savings.","IIoT systems automatically adjust machine settings in real-time by pushing optimized setpoints, such as reducing speed or adjusting temperature, to improve energy efficiency. These real-time adjustments minimize energy consumption and enhance sustainability by ensuring that machines are always operating at their most efficient levels.","Fully integrated IIoT systems with local AI agents autonomously optimize machine operations based on real-time data, continuously adjusting settings to ensure energy efficiency. This autonomous coordination reduces unnecessary energy consumption, enhances efficiency across operations, and significantly lowers emissions by adapting operations to real-time needs."
Energy consumption,Edge device,"By collecting and transmitting real-time data on energy consumption and machine performance, edge devices enable operators to monitor and identify areas of inefficiency. This helps reduce unnecessary energy consumption by improving visibility into energy use, optimizing machine efficiency, and reducing waste.","Edge devices locally analyze real-time data to detect inefficiencies, such as machines running at suboptimal energy levels. By identifying these anomalies, immediate corrective actions can be taken to prevent excessive energy consumption and optimize machine performance, improving overall energy efficiency.","Edge devices use predictive models to forecast when energy consumption will peak or when a machine will operate inefficiently. This foresight enables proactive adjustments, such as reducing power consumption during peak demand periods or scheduling maintenance before energy use spikes, leading to better energy efficiency and reduced consumption.","Edge devices send real-time optimized instructions to machines, adjusting parameters such as speed, temperature, or load to ensure machines operate at their most energy-efficient settings. These adjustments prevent energy waste, improve process efficiency, and reduce energy consumption over time.","Fully integrated edge devices with adaptive capabilities autonomously optimize machine operations in real time, adjusting energy usage based on real-time data inputs. This continuous, dynamic adjustment ensures that energy is used efficiently, reducing waste and maintaining optimal energy consumption without manual intervention."
Energy consumption,Data lake/store/base,"Data lakes centralize energy consumption data, enabling manufacturers to identify historical peaks and inefficiencies. This foundational visibility allows for targeted actions to reduce energy consumption and avoid excessive energy use in the future.","By enabling deeper analysis of past energy usage and identifying inefficiencies, data lakes help diagnose areas of high energy consumption, such as production faults or equipment inefficiencies, reducing energy waste and improving efficiency.","With predictive capabilities, data lakes enable the development of ML models that forecast future energy consumption patterns and potential peaks. By predicting these events, manufacturers can implement strategies to prevent excess energy use, leading to lower overall energy consumption.","By feeding data to optimization engines, data lakes allow manufacturers to implement prescriptive solutions that optimize energy usage. These solutions can balance energy loads, reduce peak consumption times, and adjust processes in real time, leading to significant energy savings and reduced emissions.","In fully integrated systems, data lakes stream real-time data for ML algorithms that autonomously adjust operations based on real-time conditions. These adaptive systems continuously optimize energy use, ensuring that energy is consumed efficiently and reducing unnecessary energy waste, further decreasing emissions."
