,Question,Answer,Maturity level,ESG,ESRS impact,,,
People current,"Within the people dimension (skills, knowledge), what is your digital energy competency? Please click on the description that best fits your company's current situation. ","Most employees have limited access to basic, historical energy consumption reports. Data is siloed and not actionable in real time.",1,Environmental,Energy consumption,,,
People current,"Within the people dimension (skills, knowledge), what is your digital energy competency? Please click on the description that best fits your company's current situation. ","Most staff regularly review energy usage dashboards, identify simple anomalies (e.g., unexpected spikes), and report them for further analysis.",2,Environmental,Energy consumption,,,
People current,"Within the people dimension (skills, knowledge), what is your digital energy competency? Please click on the description that best fits your company's current situation. ",Most employees receive system-generated alerts forecasting potential energy overuse. These are integrated into shift planning and equipment scheduling.,3,Environmental,Energy consumption,,,
People current,"Within the people dimension (skills, knowledge), what is your digital energy competency? Please click on the description that best fits your company's current situation. ","Advanced analytics systems recommend specific energy-saving actions (e.g., machine sequencing, temperature control adjustments), which are incorporated into daily routines.",4,Environmental,Energy consumption,,,
People current,"Within the people dimension (skills, knowledge), what is your digital energy competency? Please click on the description that best fits your company's current situation. ","Self-learning systems automatically optimize total energy consumption across processes. Employees intervene only for rare, complex exceptions or overrides.",5,Environmental,Energy consumption,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital energy competency? Please click on the description that best fits your company's future desired situation. ","Most employees have limited access to basic, historical energy consumption reports. Data is siloed and not actionable in real time.",1,Environmental,Energy consumption,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital energy competency? Please click on the description that best fits your company's future desired situation. ","Most staff regularly review energy usage dashboards, identify simple anomalies (e.g., unexpected spikes), and report them for further analysis.",2,Environmental,Energy consumption,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital energy competency? Please click on the description that best fits your company's future desired situation. ",Most employees receive system-generated alerts forecasting potential energy overuse. These are integrated into shift planning and equipment scheduling.,3,Environmental,Energy consumption,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital energy competency? Please click on the description that best fits your company's future desired situation. ","Advanced analytics systems recommend specific energy-saving actions (e.g., machine sequencing, temperature control adjustments), which are incorporated into daily routines.",4,Environmental,Energy consumption,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital energy competency? Please click on the description that best fits your company's future desired situation. ","Self-learning systems automatically optimize total energy consumption across processes. Employees intervene only for rare, complex exceptions or overrides.",5,Environmental,Energy consumption,,,
Process current,"Within the process dimension (equipment, production), what is your digital energy intelligence? Please click on the description that best fits your company's current situation. ",Energy data is automatically collected at regular intervals from key systems and consolidated into dashboards or reports. The focus is on summarizing what happened in terms of total plant energy usage. ,1,Environmental,Energy consumption,,,
Process current,"Within the process dimension (equipment, production), what is your digital energy intelligence? Please click on the description that best fits your company's current situation. ","Operators and engineers use real-time and historical data to analyze why energy consumption deviated from expected patterns. Tools support the identification of inefficiencies, equipment issues, or production anomalies that drive higher usage.",2,Environmental,Energy consumption,,,
Process current,"Within the process dimension (equipment, production), what is your digital energy intelligence? Please click on the description that best fits your company's current situation. ","Predictive models estimate total energy usage based on upcoming production schedules, environmental factors, and historical data, allowing proactive planning for peak demand periods or energy-saving opportunities.",3,Environmental,Energy consumption,,,
Process current,"Within the process dimension (equipment, production), what is your digital energy intelligence? Please click on the description that best fits your company's current situation. ","Systems recommend or automatically implement adjustments, such as rescheduling energy-intensive tasks or optimizing machine settings, to reduce total energy usage while meeting production targets.",4,Environmental,Energy consumption,,,
Process current,"Within the process dimension (equipment, production), what is your digital energy intelligence? Please click on the description that best fits your company's current situation. ",The plant operates with fully autonomous energy optimization. AI systems continuously ingest live data and adjust production processes in real time to minimize energy consumption without human input.,5,Environmental,Energy consumption,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital energy intelligence? Please click on the description that best fits your company's future desired situation. ",Energy data is automatically collected at regular intervals from key systems and consolidated into dashboards or reports. The focus is on summarizing what happened in terms of total plant energy usage. ,1,Environmental,Energy consumption,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital energy intelligence? Please click on the description that best fits your company's future desired situation. ","Operators and engineers use real-time and historical data to analyze why energy consumption deviated from expected patterns. Tools support the identification of inefficiencies, equipment issues, or production anomalies that drive higher usage.",2,Environmental,Energy consumption,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital energy intelligence? Please click on the description that best fits your company's future desired situation. ","Predictive models estimate total energy usage based on upcoming production schedules, environmental factors, and historical data, allowing proactive planning for peak demand periods or energy-saving opportunities.",3,Environmental,Energy consumption,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital energy intelligence? Please click on the description that best fits your company's future desired situation. ","Systems recommend or automatically implement adjustments, such as rescheduling energy-intensive tasks or optimizing machine settings, to reduce total energy usage while meeting production targets.",4,Environmental,Energy consumption,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital energy intelligence? Please click on the description that best fits your company's future desired situation. ",The plant operates with fully autonomous energy optimization. AI systems continuously ingest live data and adjust production processes in real time to minimize energy consumption without human input.,5,Environmental,Energy consumption,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital energy integration? Please click on the description that best fits your company's current situation. ",Basic energy policies are in place but rely on manual processes with no digital tools for tracking or enforcement.,1,Environmental,Energy consumption,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital energy integration? Please click on the description that best fits your company's current situation. ",Policies require digital systems to monitor energy usage and provide diagnostic insights for identifying inefficiencies.,2,Environmental,Energy consumption,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital energy integration? Please click on the description that best fits your company's current situation. ",Policies integrate predictive tools that forecast energy demand and support proactive planning based on data trends.,3,Environmental,Energy consumption,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital energy integration? Please click on the description that best fits your company's current situation. ","Policies mandate systems that automate energy-saving actions in real time, based on defined rules and operational data.",4,Environmental,Energy consumption,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital energy integration? Please click on the description that best fits your company's current situation. ",Policies embed AI-driven systems that learn from operations and autonomously optimize energy use across the plant.,5,Environmental,Energy consumption,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital energy integration? Please click on the description that best fits your company's future desired situation. ",Basic energy policies are in place but rely on manual processes with no digital tools for tracking or enforcement.,1,Environmental,Energy consumption,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital energy integration? Please click on the description that best fits your company's future desired situation. ",Policies require digital systems to monitor energy usage and provide diagnostic insights for identifying inefficiencies.,2,Environmental,Energy consumption,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital energy integration? Please click on the description that best fits your company's future desired situation. ",Policies integrate predictive tools that forecast energy demand and support proactive planning based on data trends.,3,Environmental,Energy consumption,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital energy integration? Please click on the description that best fits your company's future desired situation. ","Policies mandate systems that automate energy-saving actions in real time, based on defined rules and operational data.",4,Environmental,Energy consumption,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital energy integration? Please click on the description that best fits your company's future desired situation. ",Policies embed AI-driven systems that learn from operations and autonomously optimize energy use across the plant.,5,Environmental,Energy consumption,,,
People current,"Within the people dimension (skills, knowledge), what is your digital Scope 1 competency? Please click on the description that best fits your company's current situation. ","Few employees are trained or actively using digital tools to track Scope 1 emissions. Data, if available, is siloed and retrospective, with minimal operational impact.",1,Environmental,GHG emissions,,,
People current,"Within the people dimension (skills, knowledge), what is your digital Scope 1 competency? Please click on the description that best fits your company's current situation. ","Targeted employees are trained to use dashboards and diagnostic tools (e.g., SCADA, MES) to identify sources of Scope 1 emissions. Monitoring is routine but mostly reactive.",2,Environmental,GHG emissions,,,
People current,"Within the people dimension (skills, knowledge), what is your digital Scope 1 competency? Please click on the description that best fits your company's current situation. ",Staff respond to system-generated alerts and forecasts predicting potential Scope 1 emissions events. Preventive actions are taken during planning and operations.,3,Environmental,GHG emissions,,,
People current,"Within the people dimension (skills, knowledge), what is your digital Scope 1 competency? Please click on the description that best fits your company's current situation. ","Employees use prescriptive analytics and digital recommendations (e.g., optimal equipment settings, maintenance schedules) to minimize Scope 1 emissions as part of standard workflows.",4,Environmental,GHG emissions,,,
People current,"Within the people dimension (skills, knowledge), what is your digital Scope 1 competency? Please click on the description that best fits your company's current situation. ","Employees actively contribute to continuous improvement platforms, sharing outcomes and insights that enhance adaptive digital systems managing Scope 1 emissions.",5,Environmental,GHG emissions,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital Scope 1 competency? Please click on the description that best fits your company's future desired situation. ","Few employees are trained or actively using digital tools to track Scope 1 emissions. Data, if available, is siloed and retrospective, with minimal operational impact.",1,Environmental,GHG emissions,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital Scope 1 competency? Please click on the description that best fits your company's future desired situation. ","Targeted employees are trained to use dashboards and diagnostic tools (e.g., SCADA, MES) to identify sources of Scope 1 emissions. Monitoring is routine but mostly reactive.",2,Environmental,GHG emissions,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital Scope 1 competency? Please click on the description that best fits your company's future desired situation. ",Staff respond to system-generated alerts and forecasts predicting potential Scope 1 emissions events. Preventive actions are taken during planning and operations.,3,Environmental,GHG emissions,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital Scope 1 competency? Please click on the description that best fits your company's future desired situation. ","Employees use prescriptive analytics and digital recommendations (e.g., optimal equipment settings, maintenance schedules) to minimize Scope 1 emissions as part of standard workflows.",4,Environmental,GHG emissions,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital Scope 1 competency? Please click on the description that best fits your company's future desired situation. ","Employees actively contribute to continuous improvement platforms, sharing outcomes and insights that enhance adaptive digital systems managing Scope 1 emissions.",5,Environmental,GHG emissions,,,
Process current,"Within the process dimension (equipment, production), what is your digital Scope 1 intelligence? Please click on the description that best fits your company's current situation. ","Scope 1 emissions data (e.g., fuel use, refrigerant leaks, process gas losses) is manually collected and reported post-process. Insights are typically delayed and reactive.",1,Environmental,GHG emissions,,,
Process current,"Within the process dimension (equipment, production), what is your digital Scope 1 intelligence? Please click on the description that best fits your company's current situation. ","Operators use diagnostic tools (e.g., SCADA alarms, sensor alerts) to detect abnormal usage of high-emission inputs and manually intervene to address issues such as excessive fuel burn or refrigerant use.",2,Environmental,GHG emissions,,,
Process current,"Within the process dimension (equipment, production), what is your digital Scope 1 intelligence? Please click on the description that best fits your company's current situation. ","Predictive analytics model expected Scope 1 emissions based on production plans, weather, and equipment condition. The system alerts teams to potential emissions peaks, enabling early planning and mitigation.",3,Environmental,GHG emissions,,,
Process current,"Within the process dimension (equipment, production), what is your digital Scope 1 intelligence? Please click on the description that best fits your company's current situation. ","Digital systems recommend specific operational changes (such as adjusting burner settings, switching cooling modes, or modifying process sequences) to proactively reduce Scope 1 emissions in real time.",4,Environmental,GHG emissions,,,
Process current,"Within the process dimension (equipment, production), what is your digital Scope 1 intelligence? Please click on the description that best fits your company's current situation. ","AI systems autonomously control combustion, cooling, heating, and other emissions-relevant processes in real time. They continuously optimize to minimize Scope 1 emissions while maintaining safety and performance, without requiring human intervention.",5,Environmental,GHG emissions,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital Scope 1 intelligence? Please click on the description that best fits your company's future desired situation. ","Scope 1 emissions data (e.g., fuel use, refrigerant leaks, process gas losses) is manually collected and reported post-process. Insights are typically delayed and reactive.",1,Environmental,GHG emissions,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital Scope 1 intelligence? Please click on the description that best fits your company's future desired situation. ","Operators use diagnostic tools (e.g., SCADA alarms, sensor alerts) to detect abnormal usage of high-emission inputs and manually intervene to address issues such as excessive fuel burn or refrigerant use.",2,Environmental,GHG emissions,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital Scope 1 intelligence? Please click on the description that best fits your company's future desired situation. ","Predictive analytics model expected Scope 1 emissions based on production plans, weather, and equipment condition. The system alerts teams to potential emissions peaks, enabling early planning and mitigation.",3,Environmental,GHG emissions,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital Scope 1 intelligence? Please click on the description that best fits your company's future desired situation. ","Digital systems recommend specific operational changes (such as adjusting burner settings, switching cooling modes, or modifying process sequences) to proactively reduce Scope 1 emissions in real time.",4,Environmental,GHG emissions,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital Scope 1 intelligence? Please click on the description that best fits your company's future desired situation. ","AI systems autonomously control combustion, cooling, heating, and other emissions-relevant processes in real time. They continuously optimize to minimize Scope 1 emissions while maintaining safety and performance, without requiring human intervention.",5,Environmental,GHG emissions,,,
Policy current,"Within the process dimension (equipment, production), what is your goal for your digital Scope 1 intelligence? Please click on the description that best fits your company's future desired situation. ","General Scope 1 emissions targets exist, but they are not connected to digital systems. Monitoring and reduction efforts are manual and reactive.",1,Environmental,GHG emissions,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital Scope 1 integration? Please click on the description that best fits your company's current situation. ","Digital audits are required to monitor Scope 1 emissions drivers, such as fuel use, refrigerants, and process gases, enabling diagnostics and performance reviews.",2,Environmental,GHG emissions,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital Scope 1 integration? Please click on the description that best fits your company's current situation. ",Policies require predictive models that forecast Scope 1 emissions based on operational plans and identify high-emission scenarios in advance.,3,Environmental,GHG emissions,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital Scope 1 integration? Please click on the description that best fits your company's current situation. ","Prescriptive control systems are used in real time to optimise operations and reduce Scope 1 emissions, based on defined thresholds and operational data.",4,Environmental,GHG emissions,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital Scope 1 integration? Please click on the description that best fits your company's current situation. ","Policies mandate autonomous optimisation of Scope 1 emissions, with AI-driven systems adjusting processes without manual input, while governance ensures oversight and validation.",5,Environmental,GHG emissions,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital Scope 1 integration? Please click on the description that best fits your company's future desired situation. ","General Scope 1 emissions targets exist, but they are not connected to digital systems. Monitoring and reduction efforts are manual and reactive.",1,Environmental,GHG emissions,,,
